email,first_name,last_name,full_address,zipp,city,size,phonenumber,item name,add1,add2
,Julian,Burkhardt,Klöntalerstrasse 102,8750,Glarus,10,4.94448E+11,Nke SB Bearbrick,,
,Nelson,Vandorp,En Haut la Fin 1,2340,Le Noirmont,9,4.91869E+11,Nke SB Bearbrick,,
,Marvin,Eberhardt,Vauban 1,1555,Villarzel,7,4.95456E+11,Nke SB Bearbrick,,
,Luis,Bohm,Hauptstrasse 69,7445,Ausserferrera,6,4.99781E+11,Nke SB Bearbrick,,
,Connor,Schulze,Gadmen 3,7260,Davos,8.5,4.92461E+11,Nke SB Bearbrick,,
,Amphion,Pereira,Dana 5,6809,Medeglia,8,4.98399E+11,Nke SB Bearbrick,,
,Pius,Gerber,Vogelsangstrasse 8,6205,Eich,11,4.92285E+11,Nke SB Bearbrick,,
,Lois,Preston,Buschlenweg 55,4245,Kleinlützel,9,4.90547E+11,Nke SB Bearbrick,,
,Valentino,Marsden,Alte Bernstrasse 3,5603,Staufen,10,4.9037E+11,Nke SB Bearbrick,,
,Gian,Gerber,Zelgstrasse 8,8590,Romanshorn,9,4.95267E+11,Nke SB Bearbrick,,
,Luis,Eichmann,Aretshaldenstrasse 57,8607,Seegräben,7,4.90599E+11,Nke SB Bearbrick,,
,Mika,Mueller,Route des Mayens 44,3963,Crans-Montana,6,4.96175E+11,Nke SB Bearbrick,,
,Jannik,Nandor,Vers chez Burquin 1,1346,Les Bioux,8.5,4.91536E+11,Nke SB Bearbrick,,
,Kristy,Villemson,Gemeindeweidstrasse 1,6222,Gunzwil,8,4.91971E+11,Nke SB Bearbrick,,
,Arian,Bisaillon,Chemin du Grand-Clos 9,1728,Rossens,11,4.98386E+11,Nke SB Bearbrick,,
,Henry,Ziegler,Allmend 2,6144,Zell,9,4.93665E+11,Nke SB Bearbrick,,
,Daniel,Herring,Weiherhüsli 1082,5742,Kölliken,10,4.92856E+11,Nke SB Bearbrick,,
,George,Palmer,Lussen 1945,9650,Nesslau-Krummenau,9,4.95872E+11,Nke SB Bearbrick,,
,Emil,Sanders,Rue de Serroue 12,2207,Coffrane,7,4.95495E+11,Nke SB Bearbrick,,
,Loukas,Dupont,La Maisonnette 268,1658,Rossinière,6,4.97048E+11,Nke SB Bearbrick,,
,Ibrahim,Dowell,Chemin du Bois-Caran 15,1245,Collonge-Bellerive,8.5,4.94775E+11,Nke SB Bearbrick,,
,Johannes,Frost,Obergschwend 3,6442,Gersau,8,4.98479E+11,Nke SB Bearbrick,,
,Lennard,Ouye,Alte Kaiserstuhlerstrasse 3,8181,Höri,11,4.97302E+11,Nke SB Bearbrick,,
